Overall Place,Gender Place,Division Place,Name,BIB,Team,Half,Finish Net,Finish Gun
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Place Overall,Place Gender,Place Overall,Name,,,,,
37,1,37,"Obiri, Hellen","Team
–","Team
–","HALF
01:12:33","Finish Net
02:22:37","Finish Gun
02:22:37"
39,2,39,"Lokedi, Sharon","Team
–","Team
–","HALF
01:12:34","Finish Net
02:22:45","Finish Gun
02:22:45"
40,3,40,"Kiplagat, Edna","Team
–","Team
–","HALF
01:12:35","Finish Net
02:23:21","Finish Gun
02:23:21"
42,4,42,"Diriba, Buze","Team
–","Team
–","HALF
01:12:34","Finish Net
02:24:04","Finish Gun
02:24:04"
44,5,44,"Teferi, Senbere","Team
–","Team
–","HALF
01:12:34","Finish Net
02:24:04","Finish Gun
02:24:04"
46,6,46,"Ngugi, Mary","Team
–","Team
–","HALF
01:12:33","Finish Net
02:24:24","Finish Gun
02:24:24"
50,7,50,"Edesa, Workenesh","Team
–","Team
–","HALF
01:12:34","Finish Net
02:24:47","Finish Gun
02:24:47"
51,8,51,"Gardadi, Fatima","Team
–","Team
–","HALF
01:12:34","Finish Net
02:24:53","Finish Gun
02:24:53"
52,9,52,"Mesfin, Tiruye","Team
–","Team
–","HALF
01:12:34","Finish Net
02:24:58","Finish Gun
02:24:58"
55,10,55,"Dida, Dera","Team
–","Team
–","HALF
01:12:34","Finish Net
02:25:16","Finish Gun
02:25:16"
67,11,67,"Yirga, Siranesh","Team
–","Team
–","HALF
01:12:34","Finish Net
02:26:31","Finish Gun
02:26:31"
73,12,73,"Bates, Emma","Team
–","Team
–","HALF
01:12:33","Finish Net
02:27:14","Finish Gun
02:27:14"
75,13,75,"Chepkirui, Vibian","Team
–","Team
–","HALF
01:12:34","Finish Net
02:27:23","Finish Gun
02:27:23"
81,14,81,"Kiprop, Helah","Team
–","Team
–","HALF
01:12:34","Finish Net
02:27:36","Finish Gun
02:27:36"
90,15,90,"Hall, Sara","Team
–","Team
–","HALF
01:12:33","Finish Net
02:27:58","Finish Gun
02:27:58"
95,16,95,"Linden, Desiree","Team
–","Team
–","HALF
01:12:41","Finish Net
02:28:27","Finish Gun
02:28:27"
134,17,134,"Belete, Meseret","Team
–","Team
–","HALF
01:12:34","Finish Net
02:31:03","Finish Gun
02:31:03"
150,18,150,"Simpson, Jenny","Team
–","Team
–","HALF
01:13:39","Finish Net
02:31:39","Finish Gun
02:31:39"
166,19,166,"Orjuela, Angie","Team
–","Team
–","HALF
01:15:08","Finish Net
02:32:14","Finish Gun
02:32:14"
171,20,171,"Scott, Dominique","Team
–","Team
–","HALF
01:12:51","Finish Net
02:32:31","Finish Gun
02:32:31"
324,21,324,"Valdepenas Cerna, Argentina","Team
–","Team
–","HALF
01:17:47","Finish Net
02:37:57","Finish Gun
02:37:57"
345,22,345,"Kellner, Katie","Team
–","Team
–","HALF
01:18:52","Finish Net
02:38:19","Finish Gun
02:38:19"
346,23,346,"Krezonoski, Michelle","Team
–","Team
–","HALF
01:18:52","Finish Net
02:38:23","Finish Gun
02:38:23"
464,24,464,"Hyland, Rachel","Team
Boston Athletic Association","Team
Boston Athletic Association","HALF
01:19:13","Finish Net
02:40:24","Finish Gun
02:40:24"
470,25,470,"Lopez, Sara","Team
–","Team
–","HALF
01:17:59","Finish Net
02:40:28","Finish Gun
02:40:28"
486,26,486,"Krezonoski, Kim","Team
BlackToe Running","Team
BlackToe Running","HALF
01:18:52","Finish Net
02:40:50","Finish Gun
02:40:50"
627,27,627,"Corrigan, Abigail","Team
–","Team
–","HALF
01:18:58","Finish Net
02:42:54","Finish Gun
02:42:54"
634,28,634,"Bäcklund, Johanna","Team
–","Team
–","HALF
01:18:55","Finish Net
02:43:01","Finish Gun
02:43:01"
647,29,647,"Risteen, Emilee","Team
Whriaway Racing Team","Team
Whriaway Racing Team","HALF
01:18:47","Finish Net
02:43:12","Finish Gun
02:43:12"
763,30,763,"Lemon, Maura","Team
–","Team
–","HALF
01:21:02","Finish Net
02:44:39","Finish Gun
02:44:39"
769,31,769,"Dennes, Jill","Team
–","Team
–","HALF
01:20:20","Finish Net
02:44:42","Finish Gun
02:47:02"
779,32,779,"Reed, Melissa","Team
–","Team
–","HALF
01:22:28","Finish Net
02:44:50","Finish Gun
02:47:23"
781,33,781,"Spencer, Emma","Team
–","Team
–","HALF
01:21:09","Finish Net
02:44:50","Finish Gun
02:44:50"
791,34,791,"Ames, Lauren","Team
Boston Athletic Association","Team
Boston Athletic Association","HALF
01:20:09","Finish Net
02:45:01","Finish Gun
02:45:01"
799,35,799,"Hirokawa, Fuka","Team
–","Team
–","HALF
01:21:58","Finish Net
02:45:13","Finish Gun
02:45:30"
806,36,806,"Williams, Caroline","Team
–","Team
–","HALF
01:18:52","Finish Net
02:45:17","Finish Gun
02:45:17"
808,37,808,"Hendrickson, Jackie","Team
–","Team
–","HALF
01:22:59","Finish Net
02:45:19","Finish Gun
02:47:37"
841,38,841,"Raftis, Kylee","Team
–","Team
–","HALF
01:21:22","Finish Net
02:45:51","Finish Gun
02:46:46"
864,39,864,"Gaden, Shannon","Team
–","Team
–","HALF
01:24:19","Finish Net
02:46:09","Finish Gun
02:48:28"
894,40,894,"Harmon, Kassi","Team
–","Team
–","HALF
01:21:13","Finish Net
02:46:32","Finish Gun
02:46:32"
929,41,929,"Short, Sarah","Team
–","Team
–","HALF
01:20:27","Finish Net
02:46:49","Finish Gun
02:46:49"
937,42,937,"Cain, Christa","Team
–","Team
–","HALF
01:21:06","Finish Net
02:46:53","Finish Gun
02:48:36"
989,43,989,"Chiappone, Shannon","Team
Central Park Track Club- Tracksmith","Team
Central Park Track Club- Tracksmith","HALF
01:21:58","Finish Net
02:47:24","Finish Gun
02:48:10"
