Overall Place,Gender Place,Division Place,Name,Half,Finish Net,Finish Gun
37,1,37,"Obiri, Hellen",01:12:33,02:22:37,02:22:37
39,2,39,"Lokedi, Sharon",01:12:34,02:22:45,02:22:45
40,3,40,"Kiplagat, Edna",01:12:35,02:23:21,02:23:21
42,4,42,"Diriba, Buze",01:12:34,02:24:04,02:24:04
44,5,44,"Teferi, Senbere",01:12:34,02:24:04,02:24:04
46,6,46,"Ngugi, Mary",01:12:33,02:24:24,02:24:24
50,7,50,"Edesa, Workenesh",01:12:34,02:24:47,02:24:47
51,8,51,"Gardadi, Fatima",01:12:34,02:24:53,02:24:53
52,9,52,"Mesfin, Tiruye",01:12:34,02:24:58,02:24:58
55,10,55,"Dida, Dera",01:12:34,02:25:16,02:25:16
67,11,67,"Yirga, Siranesh",01:12:34,02:26:31,02:26:31
73,12,73,"Bates, Emma",01:12:33,02:27:14,02:27:14
75,13,75,"Chepkirui, Vibian",01:12:34,02:27:23,02:27:23
81,14,81,"Kiprop, Helah",01:12:34,02:27:36,02:27:36
90,15,90,"Hall, Sara",01:12:33,02:27:58,02:27:58
95,16,95,"Linden, Desiree",01:12:41,02:28:27,02:28:27
134,17,134,"Belete, Meseret",01:12:34,02:31:03,02:31:03
150,18,150,"Simpson, Jenny",01:13:39,02:31:39,02:31:39
166,19,166,"Orjuela, Angie",01:15:08,02:32:14,02:32:14
171,20,171,"Scott, Dominique",01:12:51,02:32:31,02:32:31
324,21,324,"Valdepenas Cerna, Argentina",01:17:47,02:37:57,02:37:57
345,22,345,"Kellner, Katie",01:18:52,02:38:19,02:38:19
346,23,346,"Krezonoski, Michelle",01:18:52,02:38:23,02:38:23
464,24,464,"Hyland, Rachel",01:19:13,02:40:24,02:40:24
470,25,470,"Lopez, Sara",01:17:59,02:40:28,02:40:28
486,26,486,"Krezonoski, Kim",01:18:52,02:40:50,02:40:50
627,27,627,"Corrigan, Abigail",01:18:58,02:42:54,02:42:54
634,28,634,"Bäcklund, Johanna",01:18:55,02:43:01,02:43:01
647,29,647,"Risteen, Emilee",01:18:47,02:43:12,02:43:12
763,30,763,"Lemon, Maura",01:21:02,02:44:39,02:44:39
769,31,769,"Dennes, Jill",01:20:20,02:44:42,02:47:02
779,32,779,"Reed, Melissa",01:22:28,02:44:50,02:47:23
781,33,781,"Spencer, Emma",01:21:09,02:44:50,02:44:50
791,34,791,"Ames, Lauren",01:20:09,02:45:01,02:45:01
799,35,799,"Hirokawa, Fuka",01:21:58,02:45:13,02:45:30
806,36,806,"Williams, Caroline",01:18:52,02:45:17,02:45:17
808,37,808,"Hendrickson, Jackie",01:22:59,02:45:19,02:47:37
841,38,841,"Raftis, Kylee",01:21:22,02:45:51,02:46:46
864,39,864,"Gaden, Shannon",01:24:19,02:46:09,02:48:28
894,40,894,"Harmon, Kassi",01:21:13,02:46:32,02:46:32
929,41,929,"Short, Sarah",01:20:27,02:46:49,02:46:49
937,42,937,"Cain, Christa",01:21:06,02:46:53,02:48:36
989,43,989,"Chiappone, Shannon",01:21:58,02:47:24,02:48:10
1054,44,1054,"Colwell, Molly",01:22:53,02:48:10,02:50:15
1121,45,1121,"Zaborowska, Ewa",01:23:21,02:48:44,02:49:44
1133,46,1133,"Maida, Arianna",01:24:16,02:48:50,02:50:27
1134,47,1134,"Haegler, Marya",01:24:53,02:48:51,02:55:09
1146,48,1146,"Torres Landa Aizpuru, Alexia",01:22:58,02:48:54,02:52:00
1220,49,1220,"Luchezi, Mariana",01:24:09,02:49:33,02:50:23
1222,50,1222,"Kiernan, Reilly",01:25:28,02:49:33,02:55:02
1285,51,1285,"Salamone, Marguerite",01:22:07,02:50:04,02:50:38
1301,52,1301,"Waineo, Kiersten",01:24:31,02:50:15,02:54:26
1339,53,1339,"Toledo, Bianca",01:25:58,02:50:40,02:53:39
1351,54,1351,"Chaney, Angela",01:24:12,02:50:48,02:52:55
1379,55,1379,"Houghton, Belinda",01:22:59,02:51:05,02:51:48
1394,56,1394,"Schindel, Caitlin",01:23:24,02:51:14,02:53:25
1396,57,1396,"Kehoe, Jacqueline",01:25:09,02:51:14,02:57:11
1404,58,1404,"Rouse, Gina",01:18:33,02:51:16,02:51:16
1412,59,1412,"Corgel, Stefanie",01:25:21,02:51:20,02:53:18
1429,60,1429,"Cullingford, Stefanie",01:22:36,02:51:31,02:54:03
1439,61,1439,"Escobar, Teresa",01:24:50,02:51:34,02:55:14
1444,62,1444,"Martinez, Vicky",01:22:57,02:51:37,02:56:58
1466,63,1466,"Gustafson, Kate",01:25:40,02:51:49,02:54:50
1472,64,1472,"Mammen, Mindy",01:21:21,02:51:55,02:51:55
1552,65,1552,"Del Giudice, Erin",01:25:04,02:52:34,02:54:41
1566,66,1566,"Haehner, Anne Marie",01:23:41,02:52:38,02:55:05
1582,67,1582,"Eriksen, Ingrid",01:24:54,02:52:48,02:56:53
1612,68,1612,"Iacone, Dina",01:24:39,02:53:04,02:55:21
1634,69,1634,"Pietrzyk, Caroline",01:25:13,02:53:14,02:56:28
1642,70,1642,"Mcdermott, Casey",01:23:55,02:53:17,02:53:49
1652,71,1652,"Rodin, Rachel",01:24:51,02:53:20,02:54:42
1665,72,1665,"King, Madeleine",01:22:31,02:53:26,02:54:13
1703,73,1703,"Krummenacher, Claire",01:25:02,02:53:46,02:56:03
1708,74,1708,"Reid, Claire",01:24:39,02:53:48,02:56:01
1757,75,1757,"Aspitz, Danielle",01:24:42,02:54:04,02:56:26
1758,76,1758,"Anderson, Sarah",01:20:42,02:54:04,02:54:23
1771,77,1771,"Hawkins, Courtney",01:23:28,02:54:10,02:55:38
1773,78,1773,"Babish, Lindsay",01:24:09,02:54:12,02:55:00
1779,79,1779,"Kimble, Caroline",01:24:32,02:54:15,02:56:40
1797,80,1797,"Schassberger, Molly",01:25:26,02:54:26,02:55:59
1807,81,1807,"Chavero, Mariana",01:26:15,02:54:28,02:58:26
1842,82,1842,"Skelley, Alaina",01:26:57,02:54:40,03:00:33
1874,83,1874,"Carter, Mattie",01:27:59,02:54:50,03:00:34
1897,84,1897,"Strong, Kayla",01:25:05,02:55:00,02:57:26
1901,85,1901,"Watson, Jessica",01:23:45,02:55:01,02:55:47
1903,86,1903,"Bandt, Carly",01:24:30,02:55:01,02:59:23
1915,87,1915,"Mayer, Katarina",01:26:04,02:55:07,02:58:40
1921,88,1921,"Hirsch, Madison",01:25:08,02:55:09,02:59:00
1935,89,1935,"Ben-Ishai, Elizabeth",01:25:42,02:55:15,02:59:09
1948,90,1948,"Farmer, Samantha",01:23:21,02:55:19,02:56:41
1954,91,1954,"Raymond, Maude",01:26:33,02:55:22,02:58:05
